county,date,order_closure,order_gath,order_lab,order_masks,order_quarres,order_quarvis,order_shome,order_bubble
Alameda,2020-10-26,3,,2,7,8,0,0,3
Alameda,2020-10-27,3,,2,7,8,0,0,3
Alameda,2020-10-28,3,,2,7,8,0,0,3
Alameda,2020-10-29,3,,2,7,8,0,0,3
Alameda,2020-10-30,3,,2,7,8,0,0,3
Alameda,2020-10-31,3,,2,7,8,0,0,3
Alameda,2020-11-01,3,,2,7,8,0,0,3
Alameda,2020-11-02,3,,2,7,8,0,0,3
Alameda,2020-11-03,3,,2,7,8,0,0,3
Alameda,2020-11-04,3,,2,7,8,0,0,3
Alameda,2020-11-05,3,,2,7,8,0,0,3
Alameda,2020-11-06,3,,2,7,8,0,0,3
Alameda,2020-11-07,3,,2,7,8,0,0,3
Alameda,2020-11-08,3,,2,7,8,0,0,3
Alameda,2020-11-09,3,,2,7,8,0,0,3
Alameda,2020-11-10,3,,2,7,8,0,0,3
Alameda,2020-11-11,3,,2,7,8,0,0,3
Alameda,2020-11-12,3,,2,7,8,0,0,3
Alameda,2020-11-13,3,,2,7,8,0,0,2
Alameda,2020-11-14,3,,2,7,8,0,0,2
Alameda,2020-11-15,3,,2,7,8,0,0,2
Alameda,2020-11-16,3,,2,8,8,0,0,2
Alameda,2020-11-17,3,,2,8,8,0,0,2
Alameda,2020-11-18,3,,2,8,8,0,0,3
Alameda,2020-11-19,3,,2,8,8,0,0,3
Alameda,2020-11-20,3,,2,8,8,0,0,3
Alameda,2020-11-21,3,,2,8,8,0,4,8
Alameda,2020-11-22,3,,2,8,8,0,4,8
Alameda,2020-11-23,3,,2,8,8,0,4,8
Alameda,2020-11-24,3,,2,8,8,0,4,8
Alameda,2020-11-25,3,,2,8,8,0,4,8
Alameda,2020-11-26,3,,2,8,8,0,4,8
Alameda,2020-11-27,3,,2,8,8,0,4,8
Alameda,2020-11-28,3,,2,8,8,0,4,8
Alameda,2020-11-29,3,,2,8,8,0,4,8
Alameda,2020-11-30,3,,2,8,8,0,4,8
Alameda,2020-12-01,3,,2,8,8,0,4,8
Alameda,2020-12-02,3,,2,8,8,0,4,8
Alameda,2020-12-03,3,,2,8,8,0,4,8
Alameda,2020-12-04,3,,2,8,8,0,4,8
Alameda,2020-12-05,3,,2,8,8,0,4,8
Alameda,2020-12-06,3,,2,8,8,0,4,8
Alameda,2020-12-07,6,,2,8,8,0,7,10
Alameda,2020-12-08,6,,2,8,8,0,7,10
Alameda,2020-12-09,6,,2,8,8,0,7,10
Alameda,2020-12-10,6,,2,8,8,0,7,10
Alameda,2020-12-11,6,,2,8,8,0,7,10
Alameda,2020-12-12,6,,2,8,8,0,7,10
Alameda,2020-12-13,6,,2,8,8,0,7,10
Alameda,2020-12-14,6,,2,8,8,0,7,10
Alameda,2020-12-15,6,,2,8,8,0,7,10
Alameda,2020-12-16,6,,2,8,8,0,7,10
Alameda,2020-12-17,6,,2,8,8,0,7,10
Alameda,2020-12-18,6,,2,8,8,0,7,10
Alameda,2020-12-19,6,,2,8,8,0,7,10
Alameda,2020-12-20,6,,2,8,8,0,7,10
Alameda,2020-12-21,6,,2,8,8,0,7,10
Alameda,2020-12-22,6,,2,8,8,0,7,10
Alameda,2020-12-23,6,,2,8,8,0,7,10
Alameda,2020-12-24,6,,2,8,8,0,7,10
Alameda,2020-12-25,6,,2,8,8,0,7,10
Alameda,2020-12-26,6,,2,8,8,0,7,10
Alameda,2020-12-27,6,,2,8,8,0,7,10
Alameda,2020-12-28,6,,2,8,8,0,7,10
Alameda,2020-12-29,6,,2,8,8,0,7,10
Alameda,2020-12-30,6,,2,8,8,0,7,10
Alameda,2020-12-31,6,,2,8,8,0,7,10
Alameda,2021-01-01,6,,2,8,8,0,7,10
Alameda,2021-01-02,6,,2,8,8,0,7,10
Alameda,2021-01-03,6,,2,8,8,0,7,10
Alpine,2020-01-29,0,0,0,0,0,0,0,0
Alpine,2020-01-30,0,0,0,0,0,0,0,0
Alpine,2020-01-31,0,0,0,0,0,0,0,0
Alpine,2020-02-01,0,0,0,0,0,0,0,0
Alpine,2020-02-02,0,0,0,0,0,0,0,0
Alpine,2020-02-03,0,0,0,0,0,0,0,0
Alpine,2020-02-04,0,0,0,0,0,0,0,0
Alpine,2020-02-05,0,0,0,0,0,0,0,0
Alpine,2020-02-06,0,0,0,0,0,0,0,0
Alpine,2020-02-07,0,0,0,0,0,0,0,0
Alpine,2020-02-08,0,0,0,0,0,0,0,0
Alpine,2020-02-09,0,0,0,0,0,0,0,0
Alpine,2020-02-10,0,0,0,0,0,0,0,0
Alpine,2020-02-11,0,0,0,0,0,0,0,0
Alpine,2020-02-12,0,0,0,0,0,0,0,0
Alpine,2020-02-13,0,0,0,0,0,0,0,0
Alpine,2020-02-14,0,0,0,0,0,0,0,0
Alpine,2020-02-15,0,0,0,0,0,0,0,0
Alpine,2020-02-16,0,0,0,0,0,0,0,0
Alpine,2020-02-17,0,0,0,0,0,0,0,0
Alpine,2020-02-18,0,0,0,0,0,0,0,0
Alpine,2020-02-19,0,0,0,0,0,0,0,0
Alpine,2020-02-20,0,0,0,0,0,0,0,0
Alpine,2020-02-21,0,0,0,0,0,0,0,0
Alpine,2020-02-22,0,0,0,0,0,0,0,0
Alpine,2020-02-23,0,0,0,0,0,0,0,0
Alpine,2020-02-24,0,0,0,0,0,0,0,0
Alpine,2020-02-25,0,0,0,0,0,0,0,0
Alpine,2020-02-26,0,0,0,0,0,0,0,0
Alpine,2020-02-27,0,0,0,0,0,0,0,0
Alpine,2020-02-28,0,0,0,0,0,0,0,0
Alpine,2020-02-29,0,0,0,0,0,0,0,0
Alpine,2020-03-01,0,0,0,0,0,0,0,0
Alpine,2020-03-02,0,0,0,0,0,0,0,0
Alpine,2020-03-03,0,0,0,0,0,0,0,0
Alpine,2020-03-04,0,0,0,0,0,0,0,0
Alpine,2020-03-05,0,0,0,0,0,0,0,0
Alpine,2020-03-06,0,0,0,0,0,0,0,0
Alpine,2020-03-07,0,0,0,0,0,0,0,0
Alpine,2020-03-08,0,0,0,0,0,0,0,0
Alpine,2020-03-09,0,0,0,0,1,0,0,0
Alpine,2020-03-10,0,0,0,0,1,0,0,0
Alpine,2020-03-11,0,0,0,0,1,0,0,0
Alpine,2020-03-12,0,1,0,0,2,0,0,0
Alpine,2020-03-13,0,1,0,0,2,0,0,0
Alpine,2020-03-14,0,1,0,0,2,0,0,0
Alpine,2020-03-15,0,1,0,0,2,0,0,0
Alpine,2020-03-16,1,1,0,0,2,0,0,0
Alpine,2020-03-17,1,1,0,0,2,0,0,0
Alpine,2020-03-18,1,1,0,0,2,0,0,0
Alpine,2020-03-19,6,10,0,0,2,0,10,0
Alpine,2020-03-20,6,10,0,0,2,0,10,0
Alpine,2020-03-21,6,10,0,0,2,0,10,0
Alpine,2020-03-22,6,10,0,0,2,0,10,0
Alpine,2020-03-23,7,10,0,0,2,0,10,0
Alpine,2020-03-24,7,10,0,0,2,0,10,0
